,dialogue_id,turns,text,emotion,act
0,0,1,Then I want to know what is the main part you want to talk about here?,no emotion,inquire
1,0,2,"I feel that society has a great influence on me personally. How to put it, the general values ​​of society will have a profound impact on individuals. Just like those remarks that emphasize that as long as you work hard, you will succeed, full of inspiring words. But in fact, these remarks ignore many prerequisites, or the consequences may be completely different, causing some people, such as me, to pursue it too hard. Although you may have some successful experience at the beginning, you will later find out that it is not necessarily successful, and you will feel extremely frustrated at this time. This is the situation I'm in.",disgust/sad,no action
2,0,3,"So what you're saying is, I get it. I think what you mean is that because you just mentioned the values ​​of society, everyone will think that as long as you work hard, you will be rewarded or achieve something, right? So what I want to know is, is there anything in your life right now that fits the situation you just mentioned? What situations do you think might face difficulty or frustration?",no emotion,inquire/brief description of the semantics
3,1,1,"This also involves the issue of high housing prices. I once calculated that even if I were living on minimum wage, I could still be comfortable as long as I didn't buy a house. However, because housing prices have been infinitely inflated by capitalists, they treat them as capital products rather than people's living necessities. This has led to an increasing rate of vacancies, which are simply being hoarded by capitalists rather than being inhabited. As a result, house prices continue to skyrocket, forcing us to struggle with them throughout our lives. In the employment environment in Taiwan, we must achieve higher grades, enter a better company, and then get the salary they set. It may take us 20 to 30 years of hard work to pay off our mortgage. In other words, we are currently in a situation where a failed exam brings a sense of happiness, but due to poor performance, we feel confused and anxious about the future. I think it may not be viable in the future.",fear,no action
4,1,2,"I understand what you mean. It sounds like you believe that if you don't fit in with a certain general public or society's values, you will feel that you have little decision-making or control over your future. You may feel that if you continue this way, you will never live the life you want. So I’m not sure, when did you start feeling like this? So I don’t know, because you just said this paragraph, it sounds like you have an idea about your possible future, such as income, or whether you can have a good position or status, and about how much money you can make or the economic situation. Consideration, seems to be quite concerned. But it seems that the financial aspect is more important to you. Perhaps for your overall outlook on life or your own requirements, the economy has become a very important issue that receives high attention and attention. Yes, is that so? So I'm not sure, but it seems that you may feel that if you cannot reach a certain economic level or certain conditions, your life seems to lack hope and your life seems to have lost its direction. That's what I hear but I'm not sure about your situation yet.",no emotion,inquire/emotional reflection/brief description of the semantics
5,2,1,"I still hope to have a stable place to live. Because in Taiwan, the protection for renters is not that complete. This will make me feel that there may come a time in the future that if the landlord wants to kick me out randomly, I will not be able to fight it. For example, if the house leaks, or if I have relatives coming to stay, I might be forced to move. Yes. Therefore, in Taiwan, it seems that only owning your own house can provide peace of mind for retirement. After all, we don’t have the option of euthanasia either.",anger,no action
6,2,2,"learn. So, what I can feel is, in addition to income or financial aspects, what other aspects do you care about or value? So I'm not really sure, like I have to have some kind of financial ability to be able to maintain or have what I want. Yeah, it's like the financial situation is a very basic requirement that has to be at a certain level. So maybe, of course there are financial requirements that need to be met, but it doesn't mean that if I don't have a certain income or reach a certain level, I can't have or maintain the things I want, or the relationships I like.",no emotion,inquire/brief description of the semantics
7,3,1,"Yes, not to that extent. But, well. One of the reasons I feel anxious is because I was taught the importance of money growing up. For example, someone may tell you that a person may need an amount of 10 million or so to go to college to meet various living expenses. The people around you will tell you how important money is, or debt, debt, debt every month and so on. This will deepen your emphasis on money, and you will start to calculate how much money you spend, how much money you should save, or how much money you need to earn in the future to be able to cope with your personal life or the people you want to support. living expenses. Then this is a source of anxiety. Although it is not directly necessary for me to make my parents happy, or to socialize and chat with my classmates, it does continue to cause anxiety in my life.",fear/sad,no action
8,3,2,"So, I think it sounds like there's an inherent fear, maybe instilled in me from a young age, or something else, a deep concern about money and security. It seems like you need to have some level of mastery in order to feel at ease.",no emotion,inquire/emotional reflection
9,4,1,"In addition to this, it means that society ignores those who are not extreme and ignores those who are not extreme. Just like those so-called normal people, but they still have many psychological problems that have not been solved. However, when we have not popularized mental health education, that is to say, when the depth is not deep enough, they have not dealt with these problems properly. Instead, I see that most people will choose to transfer externally. The way. Um. For example, when you are inactive, you use passive attacks to transfer some negative energy to others. Over time, these will cause lesions, that is, problems, in some, um, more sensitive ethnic groups, or groups that are more reactive to these, um, negative energies. Then, in those groups that are more kind-hearted, Well, that is, he is more inclined to inflict internal harm, that is, to hurt his own people inwardly, and problems arise with them, and then the public will ostracize or blame those people. . This social environment is not aware of its own situation, but it is not friendly and tolerant of those who are exposed and absorb their negative energy.",anger/sad,no action
